iter	RMSE
0	4607785.982
1	4454889.471
2	4315545.5
3	4189852.069
4	4067665.386
5	3955512.675
6	3851859.596
7	3761721.63
8	3681408.459
9	3603994.422
10	3531455.571
11	3468904.971
12	3407809.398
13	3353400.877
14	3303310.677
15	3258112.417
16	3216892.145
17	3178557.239
18	3142965.035
19	3110231.949
20	3077972.346
21	3049093.507
22	3023151.618
23	2997501.469
24	2973568.93
25	2952318.017
26	2930259.358
27	2912154.47
28	2896075.228
29	2877404.019
30	2862966.979
31	2848900.792
32	2835157.128
33	2823847.53
34	2812125.229
35	2799572.222
36	2787072.35
37	2777218.699
38	2765992.907
39	2757520.478
40	2747714.828
41	2738184.738
42	2727208.453
43	2721082.173
44	2714824.159
45	2707877.599
46	2701461.713
47	2691066.28
48	2685030.099
49	2676906.229
50	2668934.297
51	2662327.618
52	2655771.707
53	2651253.203
54	2643771.506
55	2639110.816
56	2634201.188
57	2629662.367
58	2624655.323
59	2621253.535
60	2617208.172
61	2611700.929
62	2606737.513
63	2603403.437
64	2599780.584
65	2596057.295
66	2591834.589
67	2588910.838
68	2586680.608
69	2583672.203
70	2577730.548
71	2574590.626
72	2570398.757
73	2565565.609
74	2561353.504
75	2556116.035
76	2553133.545
77	2549428.239
78	2546310.759
79	2542163.818
80	2537724.06
81	2534969.759
82	2532766.145
83	2531161.088
84	2529161.995
85	2527552.303
86	2524369.063
87	2522358.135
88	2519689.3
89	2517065.35
90	2516254.066
91	2515211.031
92	2513470.599
93	2510475.142
94	2509040.596
95	2507317.63
96	2505784.213
97	2503076.499
98	2501228.788
99	2497635.192
100	2495123.919
101	2490670.057
102	2488892.967
103	2487397.646
104	2485792.472
105	2482367.05
106	2480987.367
107	2479679.888
108	2477542.338
109	2476165.674
110	2472218.484
111	2469975.214
112	2467812.564
113	2465115.184
114	2462688.46
115	2461008.407
116	2460024.53
117	2458609.637
118	2457286.858
119	2454358.321
120	2453101.686
121	2451735.293
122	2449202.623
123	2446023.199
124	2443919.705
125	2443041.227
126	2441001.208
127	2438950.608
128	2436946.878
129	2435540.741
130	2434383.83
131	2430631.111
132	2429365.773
133	2428191.242
134	2427750.889
135	2427060.618
136	2425717.094
137	2423835.614
138	2420841.647
139	2419103.695
140	2416599.539
141	2414633.419
142	2413488.192
143	2412514.791
144	2411268.155
145	2410826.653
146	2410528.465
147	2408845.696
148	2407821.204
149	2406557.151
150	2404866.522
151	2404330.916
152	2403278.513
153	2402698.132
154	2402403.158
155	2401781.269
156	2400165.457
157	2398266.399
158	2396314.957
159	2393620.457
160	2392289.339
161	2390079.731
162	2388751.66
163	2388434.092
164	2386674.29
165	2384194.236
166	2381248.578
167	2379662.855
168	2377222.69
169	2376004.765
170	2373410.965
171	2373136.062
172	2370467.487
173	2368809.076
174	2366513.929
175	2365832.092
176	2363258.009
177	2361156.022
178	2360432.885
179	2358118.315
180	2355573.437
181	2354067.133
182	2352228.402
183	2350993.895
184	2349596.727
185	2348456.883
186	2347779.734
187	2345267.401
188	2344364.22
189	2341340.302
190	2340764.452
191	2338374.447
192	2338226.619
193	2337702.567
194	2337027.834
195	2335726.163
196	2333159.122
197	2329942.479
198	2329807.218
199	2328479.389
200	2326287.189
201	2324041.461
202	2322020.376
203	2320889.79
204	2320051.044
205	2317360.742
206	2315128.01
207	2313330.312
208	2313187.579
209	2312024.583
210	2311337.082
211	2311118.137
212	2307615.227
213	2306282.213
214	2305696.452
215	2304261.744
216	2302022.384
217	2299980.757
218	2297531.998
219	2296002.326
220	2295222.117
221	2293509.897
222	2291560.066
223	2291427.207
224	2289681.948
225	2288702.903
226	2287402.336
227	2287010.889
228	2285384.104
229	2283610.772
230	2281298.811
231	2280506.48
232	2278726.747
233	2276341.091
234	2273410.79
235	2271458.465
236	2271312.508
237	2269510.869
238	2269302.002
239	2268518.33
240	2266986.149
241	2265746.554
242	2263956.254
243	2263225.093
244	2263069.565
245	2261095.546
246	2259632.821
247	2258405.272
248	2256607.358
249	2255387.967
250	2253828.009
251	2252786.424
252	2252649.371
253	2251071.129
254	2249493.453
255	2248207.276
256	2247297.607
257	2247208.515
258	2245565.856
259	2242703.71
260	2241613.161
261	2240599.019
262	2238956.625
263	2237224.1
264	2233769.153
265	2232691.656
266	2231243.963
267	2231127.77
268	2230007.706
269	2228719.413
270	2227840.585
271	2225331.415
272	2223060.022
273	2222975.604
274	2220308.903
275	2219803.686
276	2218237.387
277	2215647.551
278	2213919.291
279	2213085.228
280	2209806.334
281	2208811.387
282	2208715.398
283	2206328.966
284	2205218.697
285	2204528.558
286	2203998.695
287	2203580.834
288	2202756.272
289	2200652.266
290	2199367.55
291	2199273.006
292	2198873.459
293	2197214.765
294	2196324.037
295	2194335.826
296	2194260.136
297	2193142.23
298	2192051.132
299	2190435.381
300	2189233.146
301	2187505.739
302	2185477.922
303	2183698.279
304	2181881.891
305	2180806.45
306	2179529.965
307	2179443.185
308	2177182.196
309	2176863.394
310	2176241.065
311	2175229.152
312	2174454.724
313	2173136.183
314	2171249.151
315	2169710.584
316	2167705.946
317	2165925.537
318	2165855.75
319	2163244.627
320	2162287.412
321	2160791.186
322	2159330.584
323	2159236.504
324	2158269.448
325	2156952.921
326	2156865.191
327	2156798.828
328	2156716.034
329	2155374.294
330	2154723.371
331	2154092.886
332	2152007.804
333	2150883.306
334	2150061.513
335	2149690.876
336	2148676.077
337	2146185.862
338	2145571.694
339	2144730.925
340	2143079.37
341	2141922.8
342	2141769.68
343	2140344.513
344	2139499.18
345	2136965.352
346	2135918.339
347	2134892.281
348	2133284.384
349	2132152.576
350	2131198.677
351	2129903.288
352	2128749.645
353	2127403.106
354	2125468.324
355	2125000.791
356	2124047.471
357	2123028.477
358	2122862.401
359	2121753.396
360	2121023.909
361	2119036.511
362	2118452.998
363	2116884.763
364	2115082.458
365	2114327.894
366	2113120.162
367	2112407.621
368	2111956.943
369	2111522.249
370	2110391.863
371	2109444.342
372	2108220.043
373	2107486.379
374	2107299.482
375	2106440.043
376	2104705.136
377	2104303.099
378	2103215.625
379	2102045.231
380	2100947.488
381	2100861.101
382	2099189.175
383	2098685.143
384	2098052.717
385	2097970.582
386	2097118.603
387	2096366.414
388	2095137.658
389	2094254.417
390	2093764.344
391	2092723.376
392	2091462.048
393	2091230.835
394	2090629.955
395	2090577.337
396	2089437.989
397	2088306.101
398	2087293.695
399	2086364.959
400	2085278.108
401	2084449.755
402	2083087.802
403	2081531.002
404	2079844.609
405	2079220.289
406	2079131.786
407	2077824.869
408	2077124.546
409	2075911.034
410	2075173.187
411	2074773.91
412	2074710.974
413	2073119.489
414	2071640.041
415	2070860.143
416	2070071.054
417	2068799.287
418	2068237.24
419	2066888.716
420	2066046.51
421	2065083.914
422	2065038.761
423	2064052.127
424	2063934.054
425	2062786.769
426	2061924.694
427	2061865.545
428	2060950.33
429	2060393.95
430	2059755.47
431	2058193.638
432	2057186.492
433	2056670.554
434	2055925.231
435	2054829.571
436	2053947.445
437	2053359.684
438	2052450.024
439	2052375.403
440	2051415.961
441	2050144.803
442	2049714.063
443	2049323.509
444	2048177.849
445	2048024.274
446	2047504.19
447	2046419.874
448	2044982.59
449	2044069.446
450	2043725.676
451	2042354.439
452	2041384.741
453	2039932.191
454	2039356.75
455	2039275.736
456	2038474.443
457	2038013.88
458	2037381.294
459	2037257.245
460	2036582.913
461	2036531.463
462	2036100.167
463	2035251.09
464	2034329.79
465	2034031.127
466	2032993.764
467	2032957.942
468	2032533
469	2031269.95
470	2030338.392
471	2029602.184
472	2029322.382
473	2028058.836
474	2027156.108
475	2026683.803
476	2026103.138
477	2025159.066
478	2024805.704
479	2023967.499
480	2022990.195
481	2022364.298
482	2021834.873
483	2021484.677
484	2020467.567
485	2019462.469
486	2018804.322
487	2017835.727
488	2016528.989
489	2015429.909
490	2015357.11
491	2014487.469
492	2014316.349
493	2014223.882
494	2013809.6
495	2013063.225
496	2012493.389
497	2011372.476
498	2010158.851
499	2009512.87
500	2008691.198
501	2008096.83
502	2007395.314
503	2006846.195
504	2006116.841
505	2005216.132
506	2004444.889
507	2004060.405
508	2003240.168
509	2002354.595
510	2001232.296
511	2000498.632
512	1999587.603
513	1999188.411
514	1998508.437
515	1997282.05
516	1996496.31
517	1995854.702
518	1995278.625
519	1994759.86
520	1993776.817
521	1992732.88
522	1991843.639
523	1991435.174
524	1990848.742
525	1990822.257
526	1990209.972
527	1988929.361
528	1987966.337
529	1987476.043
530	1987023.239
531	1986572.139
532	1985862.084
533	1984871.167
534	1984403.275
535	1984024.023
536	1983570.05
537	1983061.692
538	1982288.693
539	1981539.141
540	1980678.563
541	1979995.247
542	1979441.99
543	1978117.676
544	1977671.407
545	1977338.389
546	1976859.57
547	1975883.63
548	1975276.992
549	1973977.952
550	1973236.414
551	1972592.81
552	1972567.303
553	1972200.418
554	1972095.166
555	1971316.988
556	1970459.062
557	1969405.05
558	1968929.329
559	1968615.698
560	1968387.837
561	1968339.048
562	1967307.062
563	1967271.026
564	1966809.967
565	1965580.128
566	1965239.14
567	1964426.169
568	1963696.289
569	1963385.199
570	1962773.472
571	1962383.827
572	1961458.695
573	1960679.472
574	1960102.79
575	1959579.374
576	1959070.863
577	1958247.21
578	1957424.131
579	1956712.762
580	1956002.08
581	1954894.819
582	1954006.391
583	1953209.32
584	1952807.029
585	1952491.289
586	1951826.718
587	1950993.655
588	1950506.699
589	1949671.693
590	1949186.905
591	1948967.31
592	1948301.47
593	1947276.653
594	1946585.34
595	1945831.974
596	1945303.242
597	1944450.284
598	1943770.252
599	1943244.767
600	1943032.727
601	1942598.178
602	1941628.453
603	1941600.858
604	1941142.087
605	1940708.932
606	1939860.342
607	1939759.131
608	1938924.677
609	1938082.577
610	1937398.698
611	1936938.441
612	1936511.807
613	1935830.455
614	1934976.012
615	1934342.725
616	1933766.832
617	1933127.68
618	1932593.334
619	1931751.123
620	1930997.133
621	1930692.706
622	1930101.848
623	1930077.182
624	1930052.353
625	1929599.06
626	1929120.603
627	1928222.377
628	1927775.934
629	1927252.503
630	1926599.363
631	1926232.235
632	1924943.942
