iter	Passed	Remaining
0	80	80650
1	171	85523
2	263	87468
3	367	91581
4	459	91526
5	573	94984
6	672	95427
7	772	95785
8	886	97659
9	962	95330
10	1043	93861
11	1120	92260
12	1196	90805
13	1270	89466
14	1342	88180
15	1419	87305
16	1500	86758
17	1574	85918
18	1650	85209
19	1723	84429
20	1793	83634
21	1859	82663
22	1922	81682
23	1992	81045
24	2073	80861
25	2139	80132
26	2203	79408
27	2270	78808
28	2335	78195
29	2402	77666
30	2468	77147
31	2536	76727
32	2617	76706
33	2685	76306
34	2753	75914
35	2822	75593
36	2890	75220
37	2954	74807
38	3019	74396
39	3085	74054
40	3163	73991
41	3229	73662
42	3293	73301
43	3359	72998
44	3425	72687
45	3492	72433
46	3560	72191
47	3627	71943
48	3701	71836
49	3768	71604
50	3835	71378
51	3903	71161
52	3970	70950
53	4034	70676
54	4098	70421
55	4159	70123
56	4237	70108
57	4303	69901
58	4372	69744
59	4446	69661
60	4517	69539
61	4585	69379
62	4652	69191
63	4720	69037
64	4806	69136
65	4875	68989
66	4942	68831
67	5009	68663
68	5075	68484
69	5140	68296
70	5204	68095
71	5268	67903
72	5345	67885
73	5412	67729
74	5477	67550
75	5544	67411
76	5614	67297
77	5687	67226
78	5760	67160
79	5850	67285
80	5944	67439
81	6018	67376
82	6090	67289
83	6161	67185
84	6229	67057
85	6306	67020
86	6390	67064
87	6477	67125
88	6558	67132
89	6623	66968
90	6687	66805
91	6752	66640
92	6817	66493
93	6889	66404
94	6958	66289
95	7026	66163
96	7102	66122
97	7169	65991
98	7190	65440
99	7253	65279
100	7322	65173
101	7400	65156
102	7466	65020
103	7534	64912
104	7609	64861
105	7672	64710
106	7738	64583
107	7804	64457
108	7866	64305
109	7930	64165
110	7993	64017
111	8056	63873
112	8132	63834
113	8196	63700
114	8262	63582
115	8328	63471
116	8394	63352
117	8456	63210
118	8518	63064
119	8583	62944
120	8659	62910
121	8729	62826
122	8795	62709
123	8863	62617
124	8928	62499
125	8993	62381
126	9057	62262
127	9122	62147
128	9196	62092
129	9261	61981
130	9323	61851
131	9389	61740
132	9455	61636
133	9531	61602
134	9606	61553
135	9683	61519
136	9766	61521
137	9838	61455
138	9909	61381
139	9981	61315
140	10050	61231
141	10119	61144
142	10193	61089
143	10263	61010
144	10347	61017
145	10419	60945
146	10489	60865
147	10562	60808
148	10636	60750
149	10705	60667
150	10775	60584
151	10845	60505
152	10870	60175
153	10953	60175
154	11032	60146
155	11109	60105
156	11180	60034
157	11253	59971
158	11324	59898
159	11395	59828
160	11463	59740
161	11544	59719
162	11618	59659
163	11691	59600
164	11761	59518
165	11828	59429
166	11902	59368
167	11975	59308
168	12046	59233
169	12123	59188
170	12188	59091
171	12256	59000
172	12320	58896
173	12383	58788
174	12446	58676
175	12510	58572
176	12575	58472
177	12647	58404
178	12715	58320
179	12779	58218
180	12846	58127
181	12913	58038
182	12980	57952
183	13046	57860
184	13112	57765
185	13191	57732
186	13256	57634
187	13322	57543
188	13386	57443
189	13451	57347
190	13517	57253
191	13581	57153
192	13644	57053
193	13722	57013
194	13789	56927
195	13854	56832
196	13919	56738
197	13984	56645
198	14045	56534
199	14111	56447
200	14180	56369
201	14264	56349
202	14327	56253
203	14392	56160
204	14454	56056
205	14519	55962
206	14585	55876
207	14653	55794
208	14716	55696
209	14802	55684
210	14871	55610
211	14942	55540
212	15017	55485
213	15080	55387
214	15143	55293
215	15217	55234
216	15298	55200
217	15405	55262
218	15491	55244
219	15565	55186
220	15631	55099
221	15703	55032
222	15776	54971
223	15839	54872
224	15904	54781
225	15982	54735
226	16051	54658
227	16118	54576
228	16190	54509
229	16257	54425
230	16321	54333
231	16383	54235
232	16448	54146
233	16528	54104
234	16594	54019
235	16678	53992
236	16751	53928
237	16825	53871
238	16892	53787
239	16957	53700
240	17024	53617
241	17102	53568
242	17169	53486
243	17235	53402
244	17311	53348
245	17372	53248
246	17434	53150
247	17501	53068
248	17565	52978
249	17641	52923
250	17705	52834
251	17768	52742
252	17833	52655
253	17895	52559
254	17960	52472
255	18024	52384
256	18088	52293
257	18162	52233
258	18228	52152
259	18290	52057
260	18355	51972
261	18422	51892
262	18484	51799
263	18548	51711
264	18614	51628
265	18687	51566
266	18753	51484
267	18820	51405
268	18883	51316
269	18946	51226
270	19008	51133
271	19072	51046
272	19134	50955
273	19210	50900
274	19274	50814
275	19340	50734
276	19402	50642
277	19469	50565
278	19536	50487
279	19600	50400
280	19662	50310
281	19741	50262
282	19803	50172
283	19867	50089
284	19933	50008
285	19996	49922
286	20063	49844
287	20133	49774
288	20199	49695
289	20276	49642
290	20340	49558
291	20405	49475
292	20466	49386
293	20531	49304
294	20596	49221
295	20660	49139
296	20729	49067
297	20810	49023
298	20871	48931
299	20936	48851
300	21001	48770
301	21075	48710
302	21161	48677
303	21223	48590
304	21288	48509
305	21365	48455
306	21426	48365
307	21489	48281
308	21551	48195
309	21615	48110
310	21680	48031
311	21744	47948
312	21809	47870
313	21887	47817
314	21952	47737
315	22016	47655
316	22081	47577
317	22144	47492
318	22207	47408
319	22270	47325
320	22335	47245
321	22409	47185
322	22473	47103
323	22536	47019
324	22606	46952
325	22670	46870
326	22732	46785
327	22802	46718
328	22864	46633
329	22941	46577
330	23010	46508
331	23077	46433
332	23140	46350
333	23204	46270
334	23272	46198
335	23336	46117
336	23400	46036
337	23476	45980
338	23541	45902
339	23608	45828
340	23668	45741
341	23732	45660
342	23796	45581
343	23858	45497
344	23922	45418
345	23995	45356
346	24063	45282
347	24124	45198
348	24188	45118
349	24252	45040
350	24318	44964
351	24382	44885
352	24447	44807
353	24523	44752
354	24589	44677
355	24652	44596
356	24717	44519
357	24782	44442
358	24846	44364
359	24909	44283
360	24973	44206
361	25048	44146
362	25113	44069
363	25177	43990
364	25242	43914
365	25304	43833
366	25371	43760
367	25454	43714
368	25534	43664
369	25620	43623
370	25689	43554
371	25762	43492
372	25831	43421
373	25903	43357
374	25970	43283
375	26044	43223
376	26112	43152
377	26189	43095
378	26258	43024
379	26329	42959
380	26404	42898
381	26471	42825
382	26540	42755
383	26608	42683
384	26677	42614
385	26759	42566
386	26839	42512
387	26917	42457
388	26992	42396
389	27061	42327
390	27130	42256
391	27195	42180
392	27262	42108
393	27346	42060
394	27416	41991
395	27486	41924
396	27556	41854
397	27627	41788
398	27703	41729
399	27773	41660
400	27844	41593
401	27937	41559
402	28009	41492
403	28072	41413
404	28132	41330
405	28195	41251
406	28257	41170
407	28322	41095
408	28390	41023
409	28464	40960
410	28527	40882
411	28594	40809
412	28657	40731
413	28722	40655
414	28785	40576
415	28847	40497
416	28916	40426
417	28992	40367
418	29055	40289
419	29119	40212
420	29183	40136
421	29246	40058
422	29310	39981
423	29381	39914
424	29449	39843
425	29528	39787
426	29595	39714
427	29656	39634
428	29719	39557
429	29783	39480
430	29848	39405
431	29924	39344
432	29990	39272
433	30069	39215
434	30132	39138
435	30196	39061
436	30264	38991
437	30329	38915
438	30395	38842
439	30459	38766
440	30528	38697
441	30601	38633
442	30667	38559
443	30731	38483
444	30801	38415
445	30863	38337
446	30924	38257
447	30990	38184
448	31055	38110
449	31128	38046
450	31194	37972
451	31259	37898
452	31324	37824
453	31389	37749
454	31457	37679
455	31522	37606
456	31588	37533
457	31665	37473
458	31728	37397
459	31790	37319
460	31854	37244
461	31919	37169
462	31986	37098
463	32052	37026
464	32118	36953
465	32193	36891
466	32258	36817
467	32322	36742
468	32392	36674
469	32454	36597
470	32517	36521
471	32580	36446
472	32642	36368
473	32718	36307
474	32788	36240
475	32851	36164
476	32914	36088
477	32978	36014
478	33043	35940
479	33111	35870
480	33176	35797
481	33248	35732
482	33314	35659
483	33380	35587
484	33445	35514
485	33509	35439
486	33575	35367
487	33641	35296
488	33709	35225
489	33783	35162
490	33854	35096
491	33920	35023
492	33982	34947
493	34049	34876
494	34113	34803
495	34178	34729
496	34244	34658
497	34323	34598
498	34390	34528
499	34456	34456
500	34519	34381
501	34596	34320
502	34670	34256
503	34733	34182
504	34801	34112
505	34877	34050
506	34943	33978
507	35010	33907
508	35073	33833
509	35138	33760
510	35201	33685
